,text,sentiment
114,aww love daddy work days week almost day still try go sf us,positive
115,many test todayyy feel confident anyy,negative
116,graduation im little sad anyone want hang,negative
117,hahaa awesomee,positive
118,holy smoke star trek freak awesomeeeee,positive
119,hate fallout keep make jump also low health money ammo food worry get,neutral
120,itunes lose songs,neutral
121,gloomy weather sun must tire come play head victoria garden impulse buy haha,neutral
122,look forward next week maths geography english french exams total hours,negative
123,poor get outside sleep garden sun good forget suncream,negative
124,well,negative
125,prob hun,positive
126,dads watch mtv go sims minutee,neutral
127,absolutely,neutral
128,matter chickadee,neutral
129,hey mia totally adore music cd,positive
130,shop clean bmfing webcam chat nephews nothing spesh good bank holiday monday nonetheless,positive
131,need ask something lmao love,positive
132,splinter look painful heroic save mr pickle,negative
133,sad,negative
134,nice see tweet sunday th may celebrate mother day today nice yer mom,positive
135,decide trans frm relax natural hair wish whole head look like root age instant gratification,positive
136,namaskar namaste r marathi people say namaskar marathi word naaaah,neutral
137,congrats cuss like matter minutes know reward,neutral
138,humous dorito oh yes,neutral
139,miss awesome weather movie,negative
140,today go normal day hope group pilot large airline come last night much drink,neutral
141,kid terrible good evans call childline,negative
142,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one days,negative
143,sad actually google term suck tho,negative
144,hate fight,negative
145,watch didnt want win put good fight lol,neutral
146,car warm sprite taste like sore throat,negative
147,come th cross country beat dumbo,neutral
148,candle wax enjoyable,positive
149,unassuming unpretentious suppose endear relate,positive
150,tomorrow valeria lunch go get hair im arraving late get cousins babtizm whatever spell,neutral
151,goooooddd morning tweet week three workout mention get new glass yesterday,positive
152,hate computer much,negative
153,fine go big walk today miles,positive
154,want red cruisers like ones lmfao,negative
155,mmmmmmmm morning,neutral
156,neither,neutral
157,hours work sunday boo find time two hour lunchbreak though yeah,neutral
158,bugger forget still wash machine,negative
159,laurie send love bless heal thoughts family peace,positive
160,back hurt really bad,negative
161,ah yes know feel,neutral
162,night cookers dad,neutral
163,modem offline week god bless g network tim leave may schedule brutal,negative
164,nope coquitlam,neutral
165,parent teacher thing yesterday bore go skl saturday lol,negative
166,lichfield tweetup sound like fun hope see everyone else,positive
167,big boom thunder storm almost maybe go home early ah probably,neutral
168,bevvies day twn great day,positive
169,first night myers w lydia actually excite summer,positive
170,good morning,positive
171,best show ever,positive
172,url previous post timer job http bite ly fdb remove space mess url es,negative
173,think iv hurt tooth eilish cassie draw competiton draw cookies pineapples haha l,neutral
174,want know audition mander text reply please,neutral
175,even nooooo secret namerebecca please,negative
176,miss neice wait see bad n grow lol,negative
177,need get computer fix,neutral
178,really hop car illness terminal,negative
179,cool people want find follow today english guess english tweet,neutral
180,sir woulda put honey,neutral
181,watch x men origins wolverine totally love haha,positive
182,vote u personal myspace keep talk fake u help thru hrdest time life x,positive
183,sad miss guy last night,negative
184,finally get call marriage counsel days late,neutral
185,ok,neutral
186,baby,neutral
187,today last day high school end go home sick stupid dead rat,negative
188,impromptu pool party except know swim get,neutral
189,lose tooth day whilst eat gum oww,negative
190,happy year,positive
191,oh hella forget say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,positive
192,phew make note case anyone else run issue,neutral
193,vote every day,negative
194,starve diet kill eat pm,negative
195,talk,neutral
196,im soo bore im deffo miss music channel,negative
197,nite nite bday girl fun concert,positive
198,nicotine replacement patch hours far good sleep hours get bite twitchy,neutral
199,sanderson twatter lately either get reply turn,neutral
200,sleep lose voice couple day ago,negative
201,http twitpic com xlm hate park car get hit,negative
202,hear fall wait,neutral
203,nightmares huggles,neutral
204,creeper feel disappoint cyberstalking skills internet privacy,negative
205,go bed late headache,negative
206,happy mother day moms,positive
207,grab coffee make mom breakfast,neutral
208,im think im go fun tonight maybe change come,positive
209,thank major chop,neutral
210,haha know cant handle fame thank,positive
211,get update ipod,neutral
212,yes sober hahaha tanghaling tapat dude haha wild knowwww plan plan go us,positive
213,never miss icarly son huge crush miranda,positive
214,saw jam carville store today head really bald,neutral
215,yellow http blip fm z g,neutral
216,mean go come back vancouver way hahah,neutral
217,feel smooth like chrome,positive
218,ew traffic,negative
219,download songs try sneak lil homework main priority songs lol,neutral
220,ra ra alone need coffee,neutral
221,sound like,neutral
222,bad day day realize mess put one happiest days life,neutral
223,walk class hate bike especially mine,negative
224,nesmith,neutral
225,fail inspection know pass wo oven wo anti tip bracket sell w oven worse tax,negative
226,jonas brothers live party rock hard love song,positive
227,happy mother day mother world,positive
228,mins hr mins google wave demo look lot fun would love test though http bite ly wnmsc,positive
229,sleepy tabz head bed fun night listen next episode joss,positive
230,exception short dude larenz fineass tate yum,neutral
231,screw review think wolverine awesome enough dominic monaghan like,positive
232,follow us recently please dont offend follow back hit limit hopefully free soon,positive
233,yes work,neutral
234,hmmm maybe mean elude something brand new know media,neutral
235,spa meet vic late lunch,neutral
236,happy monday go tavares today hope everyone bless day,positive
237,always want go oz,neutral
238,thx,neutral
239,http twitpic com jaz cool luv,positive
240,need represent blackberry,positive
241,okay dedicate th tweet fact go apple store huge crack glass screen,neutral
242,could ever actually allow stay,neutral
243,let know turn,neutral
244,sass detect long back sass haha,neutral
245,yeah think ahaha,positive
246,sport bar shatranjanpoli rest ph sport bar andheri w dont know whether help google ki jai ho,neutral
247,sleep accept appology,negative
248,wolverine boss seriously,negative
249,live pain bring,neutral
250,okay back later,neutral
251,powerblog powerblog challenge keep talk newbie follower,neutral
252,almost die laptop screen set brightness reinstall windows vista get headache insanedefaults,positive
253,wait tish get get drive moms crv pick duckie first time,neutral
254,try decide movie friends go well lol p bible study nite mean day cake buy,negative
255,go shower want smell school tomorrow,neutral
256,sigh know,neutral
257,discover cause bug new netplayer build publish bug fix hopefully new beta tomorrow,positive
258,free twitter tool get followers http short q http jijr com hulz http short r http org xpg,neutral
259,get home work chug big bottle apple juice,neutral
260,yes please dont go die cry normally lead small animals get harm,negative
261,write report card soooo tire amaze day check fb soon,positive
262,big brother,neutral
263,good news finally finish easactive workout pause hours bad news resistance band tear,neutral
264,well good morning wonderful day neighborhood thank follow another morning,positive
265,ftsk mercy mercedes amaze tonight always,positive
266,hope ok,positive
267,school already hurt much see every day,positive
268,wait listen wind blow tumbleweed none old enough know someone say crackerack,neutral
269,hell yeah,neutral
270,shirt dinner need ask actually ville,neutral
271,know,neutral
272,huh smelly noooo love alex vixon,neutral
273,go party last night dindin show match outfit great mind think alike anyway happy birthday eat lara,positive
274,happy b day wake side earth wish bite late,positive
275,thank teach value better person day love much best mum world,positive
276,happy mother day,positive
277,laugh glad self confidence wonderful trait applaud extra loud okay,positive
278,thank,positive
279,twitter days,neutral
280,get ready week nice today stick inside work,positive
281,tres depress,negative
282,felt like behave like son eat compensate pig home roast sugar almonds painful tum throw still feel sick,negative
283,happy mother day people love mom lot still,positive
284,sorry hear,negative
285,awesome dude yay surprise celebrities get meet years ago soooo friendly,positive
286,make happy hear girl talk tweet nba could give nuggets love,positive
287,get hang twitter,neutral
288,know neck jack force pay park bc turn head parallel park free space,negative
289,want back http bite ly pp wz,neutral
290,go miss roomie longer roomies start tomorrow,negative
291,bath two little angels keyla janice,neutral
292,yep finish chock full spell grammatical errors clean tomorrow pop hehe,negative
293,hahahha lol true always remember bd never remember date even day,neutral
294,family hang,neutral
295,watch ellen love dish tan gorgeous,positive
296,goin hun worry,negative
297,im bannished work till,negative
298,morning get see let know right go go see wolverine,neutral
299,red top tabloids build em knock em,neutral
300,tonight party w girls minus vita,positive
301,make sad think jump joy,neutral
302,simple,neutral
303,pics upload baby pics cat missy adult pretty little kitty batty kitten heaven,neutral
304,saw play amaze,positive
305,glad break twitter virginity two,positive
306,dinner fam miss,negative
307,live want better bind bad egg though soon learn,neutral
308,hell yeah kellynn get twitter finally,neutral
309,know worth shoot though,positive
310,open facebook account little confuse really get twitter seem much better,positive
311,ship stick,negative
312,dustbin baby cannot wait x,positive
313,go dwell happen pass shame supportive life x,negative
314,look like office tv get mlb network look like mlbn televise det bal game today wieters,neutral
315,home empty hand comics find today shall indulge cupcakes magnolia bakery,neutral
316,lay bed til workkk oh life definitely pinch nerve,negative
317,today busy day exhaust,negative
318,go go sunday get much go weekend,neutral
319,sorry hear ur flight get cancel blow,negative
320,ohh tooth hurt ohh im sad hurt,negative
321,get distract like thank new followers take trouble follow others feelin love,positive
322,u think u bill ha ii finish pay mine break,negative
323,sure say big jst saw pics u ur last bday look pretty miss,neutral
324,sore throat plan tet marwell though good time,neutral
325,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,positive
326,days without sleep migraine think life postr mean relax,negative
327,,neutral
328,suck,negative
329,whens sway sway winner announce,neutral
330,k check,neutral
331,pretty well wide awake,positive
332,want wake early get coffee tomorrow today go busyy day keep write booo whoo,neutral
333,miss daddy mommy,negative
334,dog officially depress brother dog go want go outside play half heartedly,negative
335,realize forward text msgs iphone,neutral
336,frist post find new car parent excite,positive
337,argh noo miss killers wossy suck miss brandon total failure anyone know repeat must investigate,negative
338,seriously bore without anyone talk tire enough sleep,negative
339,lose please help find good home,negative
340,peter gordon morning go piece wanna hide go piece almost die ever http blip fm yk,neutral
341,ok get bite bad back lift drum hardware car downer,negative
342,lmao smh one throw,neutral
343,oh nice go,positive
344,get ready work work weekend,neutral
345,gonna celebrate mother day family gonna start party tonite,positive
346,agree,positive
347,computers hopeless everything else,negative
348,degrees gross sky thunderstorms perfect match mood lol,positive
349,nd aww thank,positive
350,sorry rb ps,negative
351,saw amaze heeels big,neutral
352,stick finger throat bunch bump tongue throat,negative
353,dang last url go http blip fm aigm,negative
354,ohoh miss ur tweet im gonna stay awake night see announcement time difference,negative
355,damnit suck one ones think drag back lol,negative
356,boss move nyc,neutral
357,sooo crazy fever,negative
358,spend saturday morning take note research essay stupid recall book use fair,negative
359,think need new friends,neutral
360,look forward gig ireland see ya,neutral
361,please review sunehre ad placement http tinyurl com oow mk,positive
362,aww loooove,positive
363,hungry twitter want food,neutral
364,awesome lucky,positive
365,yea know tell everything ps send direct message tell haha,neutral
366,haha im jewish love one,positive
367,great time beer garden wit boyos think sun get bite though feel bite ill,neutral
368,l days matt fun weekend,negative
369,u really think maybe ur right lol btw phone u use think u tell b might app u,neutral
370,feel pain mine way,negative
371,come home two days,neutral
372,sadly come one,negative
373,cant wait see boy tomorrow,positive
374,ehhh check dentist app next week though get molar pull root canal,neutral
375,aww miss drive elmwood,negative
376,omg wango tango awsome love baby take,positive
377,version live interactive trans siberian ticket planner launch http tinyurl com c ljwm cool,positive
378,really wish could go,positive
379,yeah real hard know get smile,neutral
380,december good next big birthday fly sure,negative
381,make night way funny,positive
382,woo cavs happy mother day,positive
383,make face get home mom watch soap,neutral
384,go work,neutral
385,believe go get boba without,neutral
386,today,neutral
387,thank warm welcome make plan arrival time air,positive
388,days count,neutral
389,sorry friends swamp deadlines right family visit boot charades,negative
390,brainfreeze,neutral
391,discover shortcoming gravity use twitpic integrate subtract pic url character limit,neutral
392,sunburn peel,negative
393,perky purple nail polish perky chip,neutral
394,http twitpic com sx put camera smokers pit longer vandalize door without catch,neutral
395,lay alone since mook soo comfy f n play pen think ill first one cuddle,negative
396,hate dentist,negative
397,nothing aim join sorry,negative
398,take twitter break cell die,negative
399,qood morninq,neutral
400,write english original write storyyyyy listen little respect erasure aaaaaah,neutral
401,need followers,neutral
402,wish could get nail stupid job,negative
403,little wormy labyrinth sadly pass away today ok hes still around happy ghost form aww http twitpic com aim,neutral
404,pant idea could new attempt world wide attract business back airlines,neutral
405,good one,positive
406,yep infact popular miss india talented film actress lot,positive
407,dosen want go work tomorrow,negative
408,daniel win dsds voice great,positive
409,wish birthday massacre would come australia think say think tho http tinyurl com p lfch,neutral
410,hop go red lobster weekend,neutral
411,x atl u mean jack barakat wow u ever go house hehe mean ur ssoo lucky address,positive
412,sure hope become afternoon,positive
413,mean famous congrats,positive
414,phone pass away yesterday jump table search new phone,negative
415,fantastic friends include several ones meet thank life amaze people,positive
416,tamlyn wish cool sock draw,positive
417,rice crusty bread chili aawww,neutral
418,like mind even dear,neutral
419,come save pack please,neutral
420,yes love tea make typically english,positive
421,mouth sure,positive
422,dec de finally hour history pm go highschool make homework friend,neutral
423,pancakes lemon sugar thank,positive
424,si bueno guess entertain,negative
425,hunrgy right heel kill hardly walk,negative
426,electronic key stop work keyhole cant get car much technology,negative
427,yay three followers good know one person big wide world like fishies,positive
428,name tony hey poor tony,negative
429,goodmorning,positive
430,take shift tomorrow really feel like work right,negative
431,love mine happy mother day mom john taylor much love,positive
432,saw black snake garden go back picture go,neutral
433,http twitpic com wukt buy ludi rug dog best,positive
434,waterfront anymore faccia luna clarendon,negative
435,love mum much happy mother day wonderful mother,positive
436,slip catch flu feel like poop,negative
437,urge play wow wait weeks til im dads days til mcfly im excite l,positive
438,ok passengers one alive dead know til end cry,negative
439,discover share g reader even know sigh g reader newb,neutral
440,chill tonite cannot spew venom write funny seem like style,neutral
441,u please pray lord know need,neutral
442,aaaaaw want live usa,neutral
443,morning tweeple,positive
444,hey get,neutral
445,hours sleep rest need,positive
446,make day much better rough one mention love new photo,neutral
447,want sit home prom night someone hang,negative
448,head home foot surgery wish boyfriend come cuddle,positive
449,concert tonight chackin come tomorrow,neutral
450,happen think come back today,neutral
451,lol dammit well next time,negative
452,lol ever forget,positive
453,still jealous,negative
454,http twitpic com qv forever ethan,negative
455,im sad im give first didnt nothing,negative
456,week mine easy finally,negative
457,wow beautiful picture way straight want let know bella,positive
458,arch draw check mvcc cad degree look good,positive
459,people pencil sharp sharpen pencil philosophy,neutral
460,go home usually mr positive one daze well mins tomorrow,neutral
461,always lee let go paris,neutral
462,know want come keep company whilst mum friends night nice even,positive
463,cook dad lot fun kitchen together,positive
464,bounce rush make feel nauseous,negative
465,woolsery morning hopefully see north molton u clinch north devon league title lovely day,positive
466,play singstar without fave duetter,negative
467,miss bb cereal nut think like every kind available,positive
468,weird oh draw,negative
469,wake mums sing new gn r cd replacement buy im good daughter,positive
470,bird oh man cool sleep yet night,negative
471,miles go thats ok u radio alwas help,positive
472,street fighter iv skills lack beat seth easy,negative
473,fil cool people like,positive
474,good morning work espn sunday night baseball hopefully win get rain,positive
475,think honeymoon good life either honey moon joseph arthur,neutral
476,son get sting bug first time little finger slightly swell,negative
477,hours ago come realise go buy something online,neutral
478,oh refer lil exchange lj regard twitter archive post,neutral
479,bump dj opus drink car lmao act like u know,negative
480,kiss feet people kick anything want morning everyone hope best day ever,positive
481,brief preview http bite ly ehcfp omg jam creepy role scar,negative
482,miss crab legs attend go away instead,negative
483,hicks mean,negative
484,gettn ready take trip jersey dad good need new heart whoeva see please say prayer dad,negative
485,back soon need run shop cut grass,neutral
486,plan transform bedroom today random,neutral
487,home tomorrow run spin time chiropractor laundry shop visit family miss nathan,negative
488,thats another sponsor,neutral
489,us go stick office without windows,negative
490,sad make proud,negative
491,sorry try keep,negative
492,home alone hw,neutral
493,accord quarter families six live poverty,negative
494,plan spend money go well,negative
495,upload bamboozle picture facebook,neutral
496,congratulations guy finish month early booo,positive
497,actually wish back tahoe miss,negative
498,wake wanna stay bed,neutral
499,bday june wack ihavent see promotions bday party someone better finagle asap,negative
500,would great vips act enjoy see noooo,neutral
501,marie wish could make hate commute sometimes,neutral
502,workin long day today hopefully make good tip,positive
503,go quick chance lol,negative
504,hat headaches maybe ready rock,negative
505,thank support,positive
506,really android twitter app tweetie calibre,neutral
507,good day drive mountains visit katie eat chip fudge stock lovely smell soap,positive
508,nyappy mother day mom,positive
509,yeah im gonna take ur picture ipod baby,neutral
510,traumatize moment childhood dog massacre baby bunnies brother get bb gun,negative
511,lol wish way microsize everything lol,neutral
512,organization itil forget people fail preach convert people http tr im kwua,negative
513,libertine um glad enjoy,positive
514,dinner even play card already pack ready head home tomorrow go home,neutral
515,im allergic cat tonsils get swell hurt dooo,negative
516,say feel mama tuck night lonely get tomorrow tough,negative
517,miss alot one day,negative
518,sound like great night glad successful,positive
519,thank share,positive
520,say mlia instead fml hope find soon,positive
521,garden go well almost corn peas onions beets yet though,positive
522,nah jkin hot bore,neutral
523,ahhh sqeaky clean fresh even though wear dirty clothe love two half men amaze,positive
524,yes read many time,neutral
525,cuz play grow twitter,neutral
526,live ignorance,negative
527,nope tell want cameo cream,neutral
528,awwww gonna miss,negative
529,quite like worthing relax place nice coffee shop fresh air many oiks,positive
530,terrible haha new fact cost part kind spock,neutral
531,today lovely day fun even,positive
532,beto pizzeria banksville rd believe beachview area sorry answer like years later,negative
533,sigh sisters bein strange come way copenhagen london phone turn wanna see dammit,negative
534,amaze,positive
535,barb try figure dsl aint connect need google go home computer start work soon smh,neutral
536,sick sad miss martini lounge tonight,negative
537,seem really quiet tonight jealous clearly excite life bed think,neutral
538,really wish spare cash buy new punch wii,negative
539,aw go toronto anymore,negative
540,sorry hear mom really suck,negative
541,feel hope smooth flight safe mucho amor boston,positive
542,sleep watch hgtv afraid infomercials take,negative
543,get family ready kaylee graduation gonna make sad,negative
544,sweet dream,positive
545,hay wats ur aim chat,neutral
546,okay kool might tour summer long make happen,neutral
547,pain big toe get stomp hokey cokeu throb anyone suggestions heal,negative
548,time watch op dead like sleep,neutral
549,dinner grandma since mum,neutral
550,haha thank history invention television influence america lol,positive
551,yea wassup,neutral
552,stupid job idk,negative
553,shop til drop come bac sunshine miss u,negative
554,like pics lucky girl,positive
555,thank anxiety issue years think make first couple days fine,neutral
556,around hours leave day weekend waaaay much work,neutral
557,feel love mom get nikon cool pix birthday,positive
558,attempt somehow extend inner class would close closure find ref atm,neutral
559,yes join us require cupcake donation,neutral
560,hard time talk new people pretty sure make good impression,negative
561,rc haha yup still terrible headache super swell puffy eye dont think im go today ugh,negative
562,access site,neutral
563,sun shin last,positive
564,slowest train ever stop everywhere miss quick train minutes,negative
565,nup cd either whole bunch zero ones free,neutral
566,graduation day feel like failure,neutral
567,ops lol wasnt suppose get twitter,neutral
568,think ever tierd life ugh goodnight sleep tomorrow,negative
569,u go today girl,neutral
570,doesnt want anymore,negative
571,bad hair day,negative
572,headache,negative
573,sorry guy sign sorry every,negative
574,okay okay like rest sane population world hate mondays,neutral
575,mozart requiem,neutral
576,think bite love creations wit physically attract although great style,neutral
577,michael hey thank another great day go sleep chat tomorrow sweet dream,positive
578,bet cool sr huh stop sweat since noon dad pack,negative
579,ohshnapsss piss blair usual hahah yeeeah bake cookies,neutral
580,bueno hollykins need feel better asap p miss uni soon soproudofyou,neutral
581,http twitpic com v vr cool mother awesome hair style wish happy mother day,positive
582,happy mother day mother,positive
583,expression watch http tinyurl com eqbwe,neutral
584,stupid bipolar weather ruin day,negative
585,want tell think body odour,negative
586,nice beta easports still news online madden,neutral
587,thats pretty bad quality probably worst pic u post till date,negative
588,miss call,negative
589,unfortunately us look like funny people twitter move fb start flitter,negative
590,come back karaoke eat dinner emily sooooo much fun,positive
591,discrimination bad thing learn say children would say master years ago,positive
592,sure talk fabulous part though sorry dear,neutral
593,see sec clip new moon trailer etonline com check big tease though,negative
594,get back work feel pretty good work,positive
595,ahhh satz blend save,neutral
596,matter bet would great love right go,positive
597,dh finish make giant trio candy bar thank heavens work mat treat tomorrow,positive
598,ear pop,neutral
599,work diffuse irritation traffic sure help mother f always real bad days th help plan stuff,negative
600,submit resume day saw answer back oh well,negative
601,catch weeks lose grey house quiet,neutral
602,love ryans housewife make smile,positive
603,sooo kinda sick n tire bs guy dish,negative
604,boo hop fake alien story tinfoil cover beachball photo,negative
605,hey phillll wazzuppppp,neutral
606,miss westcott micro apollo,negative
607,great buy lunch get pay cut next month,positive
608,finally go beach yeaaaah,positive
609,ranjan ever mention nice awesome dude,positive
610,last weekday nothing school start next week,neutral
611,hello gorgeous girl nice new pic today,positive
612,ok duet hysterical lol,positive
613,ok turn twitter device update get new battery phone go fully charge dead hours,neutral
614,michelle hot mama chichis grande,neutral
615,either way always tend make followfriday list sweetie rock much,positive
616,one know like boil peanuts,neutral
617,watch th episode numb rs love throwback first episode use sprinkler theory,positive
618,sleepy feel weather ugh tonsils need company somebody talk,negative
619,please get cell phone better camera picture real bad quality compare miley take,neutral
620,ichigo try carry aswell bless suppose maybe kid,positive
621,booziest weekend long time good fun though,positive
622,count hours lose sunshine weekend,negative
623,plan try call doctor though go well mostly plan,negative
624,hoooray hook already,neutral
625,ok good day,positive
626,agree everybody would excite go ohhhh nooooo ms screw,neutral
627,edge leave contributors list month issue x ffs werd,neutral
628,ooo growl yummy time come soon huh oh yeah hunt combo tshirt think find one,neutral
629,im back z index problem,negative
630,anyone bore work,negative
631,hat life moment many nos delicate little mind take,negative
632,www myspace com fashionisthenextcity check start new tee limit edition different ways check facebook group,neutral
633,husband girl,neutral
634,think vegas good ideas place see,neutral
635,first day summer suck overcast cold summer,negative
636,hi one kiwi artist another kiwi artist,neutral
637,say happy mother day moms http plurk com p stkr,positive
638,oooo ok havent accept friends request,neutral
639,sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never go cope urgh fair,negative
640,,neutral
641,michele thank follow love good cause,positive
642,available area would,negative
643,friday hours free tomorrow oh well,neutral
644,meet time try win something prize friday,neutral
645,wait cramp,negative
646,philosophy final today thank days,positive
647,plan go follow ok,neutral
648,let guess skip sport buy new pinkish outfit,neutral
649,rain please come,neutral
650,pleasure,neutral
651,st presentation senior board fml,negative
652,lol know funny ahaha,positive
653,wide awake grouchy,negative
654,think things get worse get even worse tonight bet life misery,negative
655,app,neutral
656,lol hi emmy latin would help study aptitude test get grad school thats wanna take,positive
657,supper tonight kurumi minutes,neutral
658,kap think cute every night okay,positive
659,happy skool let today last day yippee r p jackson tyler morris always love never forget,positive
660,hi mariah,neutral
661,home cat right,neutral
662,wheres music mannnn inbox still empty,negative
663,atm http twitpic com jmeh oh yeah apple juice rebel,negative
664,sorry still sick u know know u guess pelzer present,negative
665,nice one,positive
666,exam today go get license renew birthday get closer,neutral
667,gotta get creative mother day gift gonna win love,positive
668,think gonna rain,neutral
669,aah well friends wonder great weather good,positive
670,yrbook sign w evryone fun gna miss evrything,neutral
671,lose artistic abilities,negative
672,close enough could run get one,neutral
673,stone cold crazy,negative
674,totally austin power withdrawl symptons darrius withdrawl symptoms mommy minne withdrawl syamptoms,neutral
675,xo pretty take like hour ursssss,positive
676,senior last day,neutral
677,crisis forget fringe comb men one help,negative
678,already get ticket thank make sure though,positive
679,thank new followers,positive
680,get closer rather real lobby date chicago blogher squee,neutral
681,lose vocie adele laugh lol still wonder college week,neutral
682,kill boy oh sorry get reply nothing yes know nirvana,negative
683,busy work new kit couple interview yea weekend pray uncle still young massive stroke,positive
684,get bite rabies infest person last night yay gonna scare rachel quarantine tonight shall fun,neutral
685,nooo roo cry omg want slap sing fine nowhere boohooooooooooo,negative
686,watch simpsons,neutral
687,good morning court crossfit bible study someone special house http tinyurl com cjs,positive
688,great time london,positive
689,work soon way soon,neutral
690,phaket anneliese want,neutral
691,emergency room cousin get mad flu walk breathe hospitals always cold,negative
692,thank greet,positive
693,hungry wife bodyshop party bring takeaway home much longer party go,neutral
694,http twitpic com wb pretty baby,positive
695,invite house instead,neutral
696,bite ben thai ed,neutral
697,stackeoverflow http bite ly nfk,neutral
